CODCANDIDATO,serie,categoria,linguagens,matematica,ciencias_humanas,ciencias_natureza,concluiu_fundamental,concluiu_medio,concluiu_prova_unica
23708568,1.0,medio,True,True,True,True,False,True,True
23708569,1.0,medio,False,False,False,False,False,False,False
23708570,1.0,medio,False,False,False,False,False,False,False
23708573,1.0,medio,True,True,True,True,False,True,True
23708574,1.0,medio,True,True,True,True,False,True,True
23708575,1.0,medio,False,False,False,False,False,False,False
23708580,1.0,medio,True,True,True,True,False,True,True
23708585,1.0,medio,False,False,False,False,False,False,False
23708586,1.0,medio,True,True,True,True,False,True,True
23708587,1.0,medio,True,True,True,True,False,True,True
23708591,1.0,medio,True,True,True,True,False,True,True
23708592,1.0,medio,True,True,True,True,False,True,True
23708593,1.0,medio,False,False,False,False,False,False,False
23708595,1.0,medio,True,True,True,True,False,True,True
23708601,1.0,medio,False,False,False,False,False,False,False
23708602,1.0,medio,True,True,True,True,False,True,True
23708603,1.0,medio,True,True,True,True,False,True,True
23708606,1.0,medio,False,False,False,False,False,False,False
23708615,1.0,medio,False,False,False,False,False,False,False
23708616,1.0,medio,False,False,False,False,False,False,False
23708621,1.0,medio,True,True,True,True,False,True,True
23708625,1.0,medio,False,False,False,False,False,False,False
23708626,1.0,medio,False,False,False,False,False,False,False
23708628,1.0,medio,False,False,False,False,False,False,False
23708630,1.0,medio,False,False,False,False,False,False,False
23708631,1.0,medio,True,True,True,True,False,True,True
23708632,1.0,medio,True,True,True,True,False,True,True
23708633,1.0,medio,True,True,True,True,False,True,True
23708634,1.0,medio,False,False,False,False,False,False,False
23708635,1.0,medio,True,True,True,True,False,True,True
23708639,1.0,medio,False,False,False,False,False,False,False
23708640,1.0,medio,True,True,True,True,False,True,True
23708642,1.0,medio,True,True,True,True,False,True,True
23708643,1.0,medio,False,False,False,False,False,False,False
23708644,1.0,medio,False,False,False,False,False,False,False
23708645,1.0,medio,True,True,True,True,False,True,True
23708646,1.0,medio,True,True,True,True,False,True,True
23708648,1.0,medio,True,True,True,True,False,True,True
23708649,1.0,medio,True,True,True,True,False,True,True
23708654,1.0,medio,True,True,True,True,False,True,True
23708658,1.0,medio,False,False,False,False,False,False,False
23708662,1.0,medio,True,True,True,True,False,True,True
23708665,1.0,medio,False,False,False,False,False,False,False
23708666,1.0,medio,False,False,False,False,False,False,False
23708667,1.0,medio,True,True,True,True,False,True,True
23708668,1.0,medio,True,True,True,True,False,True,True
23708670,1.0,medio,False,False,False,False,False,False,False
23708671,1.0,medio,False,False,False,False,False,False,False
23708673,1.0,medio,False,False,False,False,False,False,False
23708676,1.0,medio,True,True,False,False,False,False,False
23708682,1.0,medio,True,True,True,True,False,True,True
23708684,1.0,medio,False,False,False,False,False,False,False
23708685,1.0,medio,True,True,True,True,False,True,True
23708687,1.0,medio,False,False,False,False,False,False,False
23708688,1.0,medio,True,True,True,True,False,True,True
23708689,1.0,medio,True,True,True,True,False,True,True
23708691,1.0,medio,False,False,False,False,False,False,False
23708695,1.0,medio,False,False,False,False,False,False,False
23708699,1.0,medio,True,True,True,True,False,True,True
23708700,1.0,medio,True,True,True,True,False,True,True
23708701,1.0,medio,False,False,False,False,False,False,False
23708706,1.0,medio,False,False,False,False,False,False,False
23708712,1.0,medio,True,True,True,True,False,True,True
23708715,1.0,medio,True,True,True,True,False,True,True
23708716,1.0,medio,False,False,False,False,False,False,False
23708720,1.0,medio,True,True,True,True,False,True,True
23708722,1.0,medio,True,True,True,True,False,True,True
23708723,1.0,medio,False,False,False,False,False,False,False
23708724,1.0,medio,True,True,True,True,False,True,True
23708727,1.0,medio,False,False,False,False,False,False,False
23708728,1.0,medio,True,True,False,False,False,False,False
23708730,1.0,medio,False,False,False,False,False,False,False
23708731,1.0,medio,True,True,True,True,False,True,True
23708735,1.0,medio,False,False,False,False,False,False,False
23708737,1.0,medio,False,False,False,False,False,False,False
23708740,1.0,medio,False,False,False,False,False,False,False
23708744,1.0,medio,False,False,False,False,False,False,False
23708745,1.0,medio,False,False,False,False,False,False,False
23708747,1.0,medio,False,False,False,False,False,False,False
23708749,1.0,medio,True,True,True,True,False,True,True
23708750,1.0,medio,True,True,True,True,False,True,True
23708752,1.0,medio,True,True,True,True,False,True,True
23708754,1.0,medio,False,False,False,False,False,False,False
23708757,1.0,medio,True,True,True,True,False,True,True
23708760,1.0,medio,False,False,False,False,False,False,False
23708765,1.0,medio,True,True,True,True,False,True,True
23708767,1.0,medio,False,False,False,False,False,False,False
23708770,1.0,medio,True,True,True,True,False,True,True
23708772,1.0,medio,True,True,True,True,False,True,True
23708776,1.0,medio,False,False,False,False,False,False,False
23708778,1.0,medio,True,True,True,True,False,True,True
23708779,1.0,medio,True,True,True,True,False,True,True
23708781,1.0,medio,False,False,False,False,False,False,False
23708782,1.0,medio,False,False,False,False,False,False,False
23708783,1.0,medio,False,False,False,False,False,False,False
23708785,1.0,medio,True,True,True,True,False,True,True
23708786,1.0,medio,True,True,True,True,False,True,True
23708788,1.0,medio,True,True,True,True,False,True,True
23708789,1.0,medio,True,True,True,True,False,True,True
23708791,1.0,medio,False,False,False,False,False,False,False
23708794,1.0,medio,True,True,True,True,False,True,True
23708795,1.0,medio,False,False,False,False,False,False,False
23708799,1.0,medio,True,True,True,True,False,True,True
23708801,1.0,medio,True,True,True,True,False,True,True
23708802,1.0,medio,True,True,True,True,False,True,True
23708805,1.0,medio,True,True,True,True,False,True,True
23708806,1.0,medio,False,False,False,False,False,False,False
23708809,1.0,medio,False,False,False,False,False,False,False
23708810,1.0,medio,False,False,False,False,False,False,False
23708812,1.0,medio,False,False,False,False,False,False,False
23708814,1.0,medio,True,True,True,True,False,True,True
23708815,1.0,medio,False,False,False,False,False,False,False
23708817,1.0,medio,True,True,True,True,False,True,True
23708818,1.0,medio,False,False,False,False,False,False,False
23708819,1.0,medio,False,False,False,False,False,False,False
23708826,1.0,medio,False,False,False,False,False,False,False
23708827,1.0,medio,True,True,True,True,False,True,True
23708829,1.0,medio,True,True,True,True,False,True,True
23708830,1.0,medio,True,True,True,True,False,True,True
23708831,1.0,medio,False,False,False,False,False,False,False
23708833,1.0,medio,True,True,True,True,False,True,True
23708834,1.0,medio,False,False,False,False,False,False,False
23708835,1.0,medio,True,True,True,True,False,True,True
23708837,1.0,medio,False,False,False,False,False,False,False
23708838,1.0,medio,True,True,True,True,False,True,True
23708841,1.0,medio,False,False,False,False,False,False,False
23708843,1.0,medio,True,True,True,True,False,True,True
